Date,Open,High,Low,Close,Adj Close,Volume
2015-02-10,22.090000,22.090000,22.090000,22.090000,19.490381,0
2015-02-11,22.100000,22.100000,22.100000,22.100000,19.499203,0
2015-02-12,22.230000,22.230000,22.230000,22.230000,19.613905,0
2015-02-13,22.360001,22.360001,22.360001,22.360001,19.728601,0
2015-02-17,22.389999,22.389999,22.389999,22.389999,19.755074,0
2015-02-18,22.410000,22.410000,22.410000,22.410000,19.772717,0
2015-02-19,22.360001,22.360001,22.360001,22.360001,19.728601,0
2015-02-20,22.480000,22.480000,22.480000,22.480000,19.834478,0
2015-02-23,22.450001,22.450001,22.450001,22.450001,19.808006,0
2015-02-24,22.540001,22.540001,22.540001,22.540001,19.887421,0
2015-02-25,22.530001,22.530001,22.530001,22.530001,19.878595,0
2015-02-26,22.490000,22.490000,22.490000,22.490000,19.843304,0
2015-02-27,22.469999,22.469999,22.469999,22.469999,19.825655,0
2015-03-02,22.590000,22.590000,22.590000,22.590000,19.931536,0
2015-03-03,22.440001,22.440001,22.440001,22.440001,19.799189,0
2015-03-04,22.299999,22.299999,22.299999,22.299999,19.675659,0
2015-03-05,22.370001,22.370001,22.370001,22.370001,19.737427,0
2015-03-06,22.049999,22.049999,22.049999,22.049999,19.455086,0
2015-03-09,22.190001,22.190001,22.190001,22.190001,19.578604,0
2015-03-10,21.840000,21.840000,21.840000,21.840000,19.269794,0
2015-03-11,21.780001,21.780001,21.780001,21.780001,19.216858,0
2015-03-12,22.070000,22.070000,22.070000,22.070000,19.472733,0
2015-03-13,21.870001,21.870001,21.870001,21.870001,19.296268,0
2015-03-16,22.180000,22.180000,22.180000,22.180000,19.569782,0
2015-03-17,22.049999,22.049999,22.049999,22.049999,19.455086,0
2015-03-18,22.270000,22.270000,22.270000,22.270000,19.649195,0
2015-03-19,22.139999,22.139999,22.139999,22.139999,19.534491,0
2015-03-20,22.209999,22.209999,22.209999,22.209999,19.706627,0
2015-03-23,22.170000,22.170000,22.170000,22.170000,19.671135,0
2015-03-24,22.090000,22.090000,22.090000,22.090000,19.600153,0
2015-03-25,21.750000,21.750000,21.750000,21.750000,19.298475,0
2015-03-26,21.709999,21.709999,21.709999,21.709999,19.262983,0
2015-03-27,21.780001,21.780001,21.780001,21.780001,19.325094,0
2015-03-30,22.049999,22.049999,22.049999,22.049999,19.564661,0
2015-03-31,21.889999,21.889999,21.889999,21.889999,19.422691,0
2015-04-01,21.770000,21.770000,21.770000,21.770000,19.316219,0
2015-04-02,21.830000,21.830000,21.830000,21.830000,19.369453,0
2015-04-06,22.010000,22.010000,22.010000,22.010000,19.529167,0
2015-04-07,21.940001,21.940001,21.940001,21.940001,19.467060,0
2015-04-08,22.000000,22.000000,22.000000,22.000000,19.520300,0
2015-04-09,22.100000,22.100000,22.100000,22.100000,19.609026,0
2015-04-10,22.150000,22.150000,22.150000,22.150000,19.653389,0
2015-04-13,22.040001,22.040001,22.040001,22.040001,19.555790,0
2015-04-14,22.059999,22.059999,22.059999,22.059999,19.573534,0
2015-04-15,22.100000,22.100000,22.100000,22.100000,19.609026,0
2015-04-16,22.020000,22.020000,22.020000,22.020000,19.538042,0
2015-04-17,21.760000,21.760000,21.760000,21.760000,19.307346,0
2015-04-20,21.990000,21.990000,21.990000,21.990000,19.511425,0
2015-04-21,21.980000,21.980000,21.980000,21.980000,19.502550,0
2015-04-22,22.070000,22.070000,22.070000,22.070000,19.582405,0
2015-04-23,22.080000,22.080000,22.080000,22.080000,19.591278,0
2015-04-24,22.150000,22.150000,22.150000,22.150000,19.653389,0
2015-04-27,22.070000,22.070000,22.070000,22.070000,19.582405,0
2015-04-28,22.129999,22.129999,22.129999,22.129999,19.635641,0
2015-04-29,22.010000,22.010000,22.010000,22.010000,19.529167,0
2015-04-30,21.780001,21.780001,21.780001,21.780001,19.325094,0
2015-05-01,22.030001,22.030001,22.030001,22.030001,19.546911,0
2015-05-04,22.080000,22.080000,22.080000,22.080000,19.591278,0
2015-05-05,21.850000,21.850000,21.850000,21.850000,19.387203,0
2015-05-06,21.799999,21.799999,21.799999,21.799999,19.342838,0
2015-05-07,21.910000,21.910000,21.910000,21.910000,19.440441,0
2015-05-08,22.160000,22.160000,22.160000,22.160000,19.662258,0
2015-05-11,22.080000,22.080000,22.080000,22.080000,19.591278,0
2015-05-12,22.030001,22.030001,22.030001,22.030001,19.546911,0
2015-05-13,22.040001,22.040001,22.040001,22.040001,19.555790,0
2015-05-14,22.280001,22.280001,22.280001,22.280001,19.768738,0
2015-05-15,22.330000,22.330000,22.330000,22.330000,19.813103,0
2015-05-18,22.379999,22.379999,22.379999,22.379999,19.857466,0
2015-05-19,22.340000,22.340000,22.340000,22.340000,19.821974,0
2015-05-20,22.290001,22.290001,22.290001,22.290001,19.777609,0
2015-05-21,22.330000,22.330000,22.330000,22.330000,19.813103,0
2015-05-22,22.230000,22.230000,22.230000,22.230000,19.724377,0
2015-05-26,22.020000,22.020000,22.020000,22.020000,19.538042,0
2015-05-27,22.209999,22.209999,22.209999,22.209999,19.706627,0
2015-05-28,22.180000,22.180000,22.180000,22.180000,19.680006,0
2015-05-29,22.000000,22.000000,22.000000,22.000000,19.520300,0
2015-06-01,22.040001,22.040001,22.040001,22.040001,19.555790,0
2015-06-02,22.020000,22.020000,22.020000,22.020000,19.538042,0
2015-06-03,22.080000,22.080000,22.080000,22.080000,19.591278,0
2015-06-04,21.860001,21.860001,21.860001,21.860001,19.396076,0
2015-06-05,21.780001,21.780001,21.780001,21.780001,19.325094,0
2015-06-08,21.650000,21.650000,21.650000,21.650000,19.209745,0
2015-06-09,21.670000,21.670000,21.670000,21.670000,19.227491,0
2015-06-10,21.940001,21.940001,21.940001,21.940001,19.467060,0
2015-06-11,22.010000,22.010000,22.010000,22.010000,19.529167,0
2015-06-12,21.860001,21.860001,21.860001,21.860001,19.396076,0
2015-06-15,21.709999,21.709999,21.709999,21.709999,19.262983,0
2015-06-16,21.840000,21.840000,21.840000,21.840000,19.378330,0
2015-06-17,21.900000,21.900000,21.900000,21.900000,19.431572,0
2015-06-18,22.160000,22.160000,22.160000,22.160000,19.662258,0
2015-06-19,22.059999,22.059999,22.059999,22.059999,19.573534,0
2015-06-22,22.150000,22.150000,22.150000,22.150000,19.653389,0
2015-06-23,22.110001,22.110001,22.110001,22.110001,19.617895,0
2015-06-24,21.910000,21.910000,21.910000,21.910000,19.440441,0
2015-06-25,21.700001,21.700001,21.700001,21.700001,19.360149,0
2015-06-26,21.740000,21.740000,21.740000,21.740000,19.395832,0
2015-06-29,21.320000,21.320000,21.320000,21.320000,19.021118,0
2015-06-30,21.330000,21.330000,21.330000,21.330000,19.030043,0
2015-07-01,21.530001,21.530001,21.530001,21.530001,19.208477,0
2015-07-02,21.520000,21.520000,21.520000,21.520000,19.199553,0
2015-07-06,21.459999,21.459999,21.459999,21.459999,19.146025,0
2015-07-07,21.660000,21.660000,21.660000,21.660000,19.324461,0
2015-07-08,21.370001,21.370001,21.370001,21.370001,19.065729,0
2015-07-09,21.410000,21.410000,21.410000,21.410000,19.101416,0
2015-07-10,21.650000,21.650000,21.650000,21.650000,19.315535,0
2015-07-13,21.870001,21.870001,21.870001,21.870001,19.511816,0
2015-07-14,21.920000,21.920000,21.920000,21.920000,19.556419,0
2015-07-15,21.870001,21.870001,21.870001,21.870001,19.511816,0
2015-07-16,22.000000,22.000000,22.000000,22.000000,19.627796,0
2015-07-17,21.920000,21.920000,21.920000,21.920000,19.556419,0
2015-07-20,21.940001,21.940001,21.940001,21.940001,19.574272,0
2015-07-21,21.770000,21.770000,21.770000,21.770000,19.422598,0
2015-07-22,21.709999,21.709999,21.709999,21.709999,19.369068,0
2015-07-23,21.610001,21.610001,21.610001,21.610001,19.279850,0
2015-07-24,21.440001,21.440001,21.440001,21.440001,19.128180,0
2015-07-27,21.330000,21.330000,21.330000,21.330000,19.030043,0
2015-07-28,21.580000,21.580000,21.580000,21.580000,19.253086,0
2015-07-29,21.790001,21.790001,21.790001,21.790001,19.440439,0
2015-07-30,21.790001,21.790001,21.790001,21.790001,19.440439,0
2015-07-31,21.790001,21.790001,21.790001,21.790001,19.440439,0
2015-08-03,21.750000,21.750000,21.750000,21.750000,19.404755,0
2015-08-04,21.740000,21.740000,21.740000,21.740000,19.395832,0
2015-08-05,21.879999,21.879999,21.879999,21.879999,19.520737,0
2015-08-06,21.700001,21.700001,21.700001,21.700001,19.360149,0
2015-08-07,21.610001,21.610001,21.610001,21.610001,19.279850,0
2015-08-10,21.830000,21.830000,21.830000,21.830000,19.476128,0
2015-08-11,21.650000,21.650000,21.650000,21.650000,19.315535,0
2015-08-12,21.660000,21.660000,21.660000,21.660000,19.324461,0
2015-08-13,21.629999,21.629999,21.629999,21.629999,19.297693,0
2015-08-14,21.719999,21.719999,21.719999,21.719999,19.377985,0
2015-08-17,21.830000,21.830000,21.830000,21.830000,19.476128,0
2015-08-18,21.780001,21.780001,21.780001,21.780001,19.431520,0
2015-08-19,21.600000,21.600000,21.600000,21.600000,19.270931,0
2015-08-20,21.270000,21.270000,21.270000,21.270000,18.976507,0
2015-08-21,20.670000,20.670000,20.670000,20.670000,18.441204,0
2015-08-24,19.930000,19.930000,19.930000,19.930000,17.780996,0
2015-08-25,19.639999,19.639999,19.639999,19.639999,17.522272,0
2015-08-26,20.299999,20.299999,20.299999,20.299999,18.111103,0
2015-08-27,20.690001,20.690001,20.690001,20.690001,18.459053,0
2015-08-28,20.670000,20.670000,20.670000,20.670000,18.441204,0
2015-08-31,20.510000,20.510000,20.510000,20.510000,18.298458,0
