timestamp,open,high,low,close,adjusted close,volume,dividend amount
2014-05-09,108.7200,108.9000,108.5600,108.6900,91.4326,5549000,0.0000
2014-05-02,108.3900,108.7800,108.2400,108.6800,91.4242,5497700,0.1984
2014-04-25,108.2700,108.5450,108.0501,108.3900,91.0139,3782700,0.0000
2014-04-17,108.4300,108.6200,108.1000,108.1900,90.8460,5953400,0.0000
2014-04-11,107.9400,108.5800,107.8900,108.4300,91.0475,5484300,0.0000
2014-04-04,107.8300,107.9800,107.3300,107.7800,90.5017,5933200,0.2049
2014-03-28,107.5800,108.1000,107.5000,107.9000,90.4301,4849100,0.0000
2014-03-21,107.9100,108.0000,107.3900,107.5900,90.1703,3718500,0.0000
2014-03-14,107.5000,108.1690,107.4400,107.9300,90.4553,5284500,0.0000
2014-03-07,108.2100,108.3800,107.4200,107.4700,90.0698,7730800,0.2000
2014-02-28,107.8000,108.3700,107.6800,108.2700,90.5730,4216000,0.0000
2014-02-21,107.7600,108.0600,107.5700,107.8000,90.1798,3132800,0.0000
2014-02-14,107.8600,107.9700,107.4500,107.7700,90.1548,4790700,0.0000
2014-02-07,107.7800,108.2300,107.5500,107.8200,90.1966,7166500,0.2057
2014-01-31,107.5300,108.0700,107.3400,108.0700,90.2342,10027200,0.0000
2014-01-24,107.2100,107.6500,107.0241,107.5800,89.8251,5354400,0.0000
2014-01-17,107.1500,107.3100,106.8200,107.2500,89.5496,7494200,0.0000
2014-01-10,106.5300,107.1000,106.4000,107.1000,89.4243,9074200,0.0000
2014-01-03,106.5100,106.6300,106.3700,106.5400,88.9567,8146900,0.0000
2013-12-27,106.8600,106.9700,105.3500,106.4300,88.8649,4686400,0.2102
2013-12-20,106.9200,107.0990,106.4700,106.8600,89.0479,7022200,0.0000
2013-12-13,106.7000,107.0700,106.5700,106.6500,88.8730,14098300,0.0000
2013-12-06,107.1000,107.1200,106.4500,106.6300,88.8563,8969000,0.2026
2013-11-29,107.2500,107.5200,107.2100,107.4400,89.3618,4207200,0.0000
2013-11-22,107.4300,107.5700,106.8000,107.2400,89.1955,5826300,0.0000
2013-11-15,106.8200,107.3900,106.6700,107.3600,89.2953,6376500,0.0000
2013-11-08,107.5500,107.6000,106.7600,106.8200,88.8461,3453000,0.0000
2013-11-01,108.0000,108.2100,107.4100,107.4500,89.3701,5005600,0.1902
2013-10-25,107.7100,108.1600,107.5800,108.0100,89.6772,4018400,0.0000
2013-10-18,107.1000,107.8200,106.7400,107.7600,89.4696,3794200,0.0000
2013-10-11,107.2300,107.2700,106.7500,107.0700,88.8967,4962200,0.0000
2013-10-04,107.2900,107.3300,106.8600,107.0600,88.8884,5759000,0.1908
2013-09-27,106.8000,107.3600,106.7200,107.2900,88.9207,3237700,0.0000
2013-09-20,106.2800,106.9899,105.8001,106.7700,88.4898,3989600,0.0000
2013-09-13,105.6000,105.8300,105.2450,105.6900,87.5947,5342900,0.0000
2013-09-06,105.6300,105.9600,104.8800,105.2800,87.2549,3589300,0.1982
2013-08-30,106.1100,106.5200,106.0000,106.2100,87.8610,4393900,0.0000
2013-08-23,105.7900,105.9300,105.3300,105.9000,87.6046,3849600,0.0000
2013-08-16,107.2700,107.2700,105.7300,105.8300,87.5467,3537600,0.0000
2013-08-09,106.9300,107.2100,106.7435,107.1500,88.6386,3461400,0.0000
